r b swpd free buff cache si so bi bo in cs us sy id wa st CEST
3 0 0 30 26 663 0 0 15676 0 9556 19118 15 8 50 27 0 2022-04-17T13:35:28
0 2 0 34 26 655 0 0 16812 0 9443 19072 16 8 50 26 0 2022-04-17T13:35:29
3 0 0 23 27 664 0 0 14480 64 10883 23325 28 8 45 18 0 2022-04-17T13:35:30
0 1 0 32 27 674 0 0 12640 200 10610 21868 18 7 62 13 0 2022-04-17T13:35:31
2 1 0 32 27 673 0 0 12044 468 10146 21186 15 18 54 12 0 2022-04-17T13:35:32
0 1 0 32 26 673 0 0 13112 0 8973 17345 9 5 72 14 0 2022-04-17T13:35:33
0 1 0 52 26 674 0 0 12792 0 9925 18889 6 29 54 12 0 2022-04-17T13:35:34
2 1 0 41 26 686 0 0 12204 64 11264 22956 15 17 56 12 0 2022-04-17T13:35:35
4 0 0 29 26 695 0 0 9660 804 12675 27171 14 49 29 7 0 2022-04-17T13:35:36
0 1 0 38 26 679 0 0 12084 4 10931 23295 26 19 43 12 0 2022-04-17T13:35:37
13 1 0 31 26 692 0 0 12524 444 11476 24341 17 19 50 14 0 2022-04-17T13:35:38
5 1 0 32 26 673 0 0 11716 108 11840 26239 41 27 17 14 0 2022-04-17T13:35:39
2 2 0 33 26 678 0 0 12868 20 10638 21849 26 21 34 19 0 2022-04-17T13:35:40
3 0 0 25 26 683 0 0 11832 164 10817 22889 44 19 23 15 0 2022-04-17T13:35:41
3 2 0 32 24 670 0 0 13832 0 9501 18747 42 14 22 22 0 2022-04-17T13:35:42
3 1 0 36 23 660 0 0 15048 0 9936 19409 40 14 20 25 0 2022-04-17T13:35:43
0 2 0 57 23 672 0 0 11772 36 12688 27756 39 16 33 12 0 2022-04-17T13:35:44
1 0 0 46 23 684 0 0 12352 92 10438 20526 14 5 68 13 0 2022-04-17T13:35:45
2 0 0 33 23 696 0 0 11440 732 10727 22384 19 25 44 12 0 2022-04-17T13:35:46
0 1 0 21 23 708 0 0 12552 284 9618 19578 12 11 64 13 0 2022-04-17T13:35:47
0 1 0 35 21 695 0 0 12900 0 9047 17164 9 6 71 14 0 2022-04-17T13:35:48
0 1 0 33 20 700 0 0 13324 0 9016 16824 9 3 73 14 0 2022-04-17T13:35:49
1 0 0 29 19 706 0 0 12808 0 8838 17023 9 4 73 14 0 2022-04-17T13:35:50
1 0 0 31 16 707 0 0 12824 0 8690 16861 10 3 73 14 0 2022-04-17T13:35:51
0 1 0 31 15 707 0 0 12844 48 9221 17599 9 15 63 13 0 2022-04-17T13:35:52
2 0 0 32 15 706 0 0 12512 0 9227 17093 11 7 68 13 0 2022-04-17T13:35:53
1 0 0 30 15 710 0 0 12808 0 8820 17159 9 4 73 14 0 2022-04-17T13:35:54
0 1 0 31 15 709 0 0 13204 0 8713 16787 9 9 70 13 0 2022-04-17T13:35:55
0 1 0 32 14 708 0 0 12780 0 9055 17330 9 5 72 14 0 2022-04-17T13:35:56
17 0 0 32 14 704 0 0 11728 376 10280 22047 19 18 52 12 0 2022-04-17T13:35:57
2 0 0 32 14 689 0 0 11500 4 11556 25181 32 17 41 10 0 2022-04-17T13:35:58
0 1 0 38 14 694 0 0 12448 20 10030 20389 13 15 59 13 0 2022-04-17T13:35:59
